"filename", "language", "C#", "XML", "Draw.io", "comment", "blank", "total"
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Classes.drawio", "Draw.io", 0, 0, -53, 0, 0, -53
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Develop02.csproj", "XML", 0, -8, 0, 0, -4, -12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\DisplayMenu.cs", "C#", 0, 0, 0, -9, -3, -12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Entry.cs", "C#", -8, 0, 0, -1, -3, -12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Journal.cs", "C#", -70, 0, 0, -2, -17, -89
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Program.cs", "C#", -124, 0, 0, -17, -18, -159
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\ChecklistGoal.cs", "C#", 61, 0, 0, 0, 12, 73
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Classes.drawio", "Draw.io", 0, 0, 119, 0, 0, 119
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Develop05.csproj", "XML", 0, 8, 0, 0, 4, 12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\EternalGoal.cs", "C#", 28, 0, 0, 0, 9, 37
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Goal.cs", "C#", 55, 0, 0, 0, 20, 75
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Manager.cs", "C#", 262, 0, 0, 16, 56, 334
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Program.cs", "C#", 254, 0, 0, 37, 54, 345
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\SimpleGoal.cs", "C#", 19, 0, 0, 0, 6, 25
"Total", "-", 477, 0, 66, 24, 116, 683
